Company,Industry,Review Title,Review Text,Rating,Date,Review_ID,Reviewer,Sentiment,Review_Length,Sentiment_Score,Clean_Text,Word_Count,Character_Count
Uber Eats,Food Delivery,I ordered 1400 dollars of food from…,I ordered 1400 dollars of food from Costco to be delivered and I have been sent a message saying that It was not delivered when because I wasn't available and they never even called I cannot get a refund and the driver was issued a tip this is disgusting. 1400 my family needs to eat this man named DILEEPA or whoever from this business robbed food out of my families mouths and stole a tip for work he never did. THANKS UBER,1,"August 10, 2026",,,Negative,425,-1,ordered 1400 dollars food costco delivered sent message saying not delivered wasn't available never even called cannot get refund driver issued tip disgusting 1400 family needs eat man named dileepa whoever business robbed food families mouths stole tip work never thanks uber,42,276
Uber Eats,Food Delivery,Poouber are bunch of crooks take yr…,Poouber are bunch of crooks take yr money do not deliver yr food. Do not use they don’t answer complaints bunch of Thief's.,1,"August 10, 2026",,,Negative,123,-1,poouber bunch crooks take yr money not deliver yr food not use answer complaints bunch thief's,16,94
Uber Eats,Food Delivery,Terrible service,"Terrible service, no customer service, rip off prices. Don't use Uber",1,"August 10, 2026",,,Negative,69,-1,terrible service no customer service rip prices don't use uber,10,62
Uber Eats,Food Delivery,Uber never sent a driver to pick up the…,Uber never sent a driver to pick up the order. Also number provided on the app was wrong and I had to Google the correct number for the restaurant to even see what had happened. Never using again.,1,"August 10, 2026",,,Negative,196,-1,uber never sent driver pick order also number provided app wrong google correct number restaurant even see happened never using,20,127
Uber Eats,Food Delivery,"Tried it on holiday, literally worst company I have ever dealt with",Used it for the first time on holiday. First couple of times were really slow but put it down to being in a busy location. 3rs tine I used it I paid the priority fee and the app said we were next for delivery. The driver then proceeded to at least 4 other stops and the customer service / AI bots they use are infuriating to get a reasonable response. Will never use again and switch to a different app for taxis as well. Terrible terrible company and I never complain usually but they have riled me up by being soo bad.,1,"August 10, 2026",,,Negative,520,-1,used first time holiday first couple times really slow put busy location 3rs tine used paid priority fee app said next delivery driver proceeded least 4 stops customer service ai bots use infuriating get reasonable response never use switch different app taxis well terrible terrible company never complain usually riled soo bad,52,328
Uber Eats,Food Delivery,One star is too much,"One star is too much. They say that the have delivered your order but its been brought to a different location. Butttt since the delivery guy called (and i didn't answer straight away) i cant get a refund. I hope someone at least enjoyed the meal, whom ever found it",1,"July 30, 2026",,,Negative,266,-1,one star much say delivered order brought different location butttt since delivery guy called didn't answer straight away cant get refund hope someone least enjoyed meal ever found,28,180
Uber Eats,Food Delivery,If I could rate less I would,"If I could rate less I would , ordered smoothies . Spent £40 worth and the rider dropped them all over my doorstep. He insisted they’d refund me and they just won’t even when I have photographic and audio evidence from cctv. Ridiculous",1,"August 2, 2026",,,Negative,235,-1,could rate less would ordered smoothies spent 40 worth rider dropped doorstep insisted refund even photographic audio evidence cctv ridiculous,20,142
Uber Eats,Food Delivery,nigligent deliveries,"ordered food and the del;ivery driver sat in the car park for 15 minutes before i text him to ask why he then started to move, when i recieved the food over 20 mins later it was cold, customer services accept this as acceptible with no resolution otherv than close the chat",1,"August 10, 2026",,,Negative,273,-1,ordered food del ivery driver sat car park 15 minutes text ask started move recieved food 20 mins later cold customer services accept acceptible no resolution otherv close chat,29,176
Uber Eats,Food Delivery,Terrible disgusting customer services avoid,"I had a terrible experience with a company & when I raised a complaint to Uber Eats there customer services was diabolical. When I escalated the complaint to senior Management it was completely ignored.
There has been a complete breakdown in customer services from top to bottom the customer services are really useless.
I would recommend not using Uber Eats if you get any problem they are biased & support the retailer & dismiss your complaint as frivolous with a very condescending negative attitude. Uber eats only want your money so they can make more profit they don’t care about there customers they just abandon them & ineffect get ripped of by some unscrupulous businesses.",1,"July 30, 2026",,,Negative,682,-1,terrible experience company raised complaint uber eats customer services diabolical escalated complaint senior management completely ignored complete breakdown customer services top bottom customer services really useless would recommend not using uber eats get problem biased support retailer dismiss complaint frivolous condescending negative attitude uber eats want money make profit care customers abandon ineffect get ripped unscrupulous businesses,57,453
Temu,Online Shopping,do not buy from them,worst site ever will not buy from them again items missing from parcel want a police report proof that it is missing take photos of unpacking items madness pure madness,1,"August 12, 2026",6a7c2796c9ab4170fd4c7e83,MRS MIRELLA B SCALISE,Negative,168,-1,worst site ever not buy items missing parcel want police report proof missing take photos unpacking items madness pure madness,20,126
Temu,Online Shopping,Unfair refund rejection due to seller's mistake – Order #PO-135-19967581880952934,"I ordered phone covers for a Xiaomi 13T Pro and a Samsung Galaxy A26 5G from Temu (Order #PO-135-19967581880952934). However, the seller sent entirely wrong items.
When I returned the package, Temu’s automated system rejected my refund claim, claiming the returned items didn't match the original order. Of course they didn't match—because the seller shipped the wrong items in the first place!
Instead of fixing their own merchant's error, Temu penalized me and refused to issue my full refund of 158 MAD. I have submitted all proofs and photos, yet the resolution process has been frustrating and full of automated dismissals.
Extremely disappointed with this support experience. I demand an immediate manual review by management and a full refund to my original payment method.",1,"August 12, 2026",6a7c275b93062914a9acd16c,Mohamed Ahzid,Negative,780,-1,ordered phone covers xiaomi 13t pro samsung galaxy a26 5g temu order po 135 19967581880952934 however seller sent entirely wrong items returned package temu automated system rejected refund claim claiming returned items didn't match original order course didn't match seller shipped wrong items first place instead fixing merchant's error temu penalized refused issue full refund 158 mad submitted proofs photos yet resolution process frustrating full automated dismissals extremely disappointed support experience demand immediate manual review management full refund original payment method,81,592
Temu,Online Shopping,My parcel should have arrived on Monday…,My parcel should have arrived on Monday but it did not. No word from Temu as to when it will arrive,1,"August 12, 2026",6a7bf9278b064be81ecdffc0,Barbara Macmull,Negative,99,-1,parcel arrived monday not no word temu arrive,8,45
Temu,Online Shopping,"Don't expect a refund, expect to be scammed","Temu denied my refund for the shoes that I returned: I have photographs and videos showing the items and how they were packaged for return, along with return and delivery documentation. Temu denied the refund without providing the warehouse evidence or inspection records I requested. I purchased a pair of shoes from Temu. However, Temu did not send the complete or correct pair. The shipment contained an individual shoe, that looked nothing like the photo.

I opened a return through Temu and returned the individual shoe exactly as they were received. Before shipping the return, I took photographs and videos showing the items, their condition, and how the shoe was packaged. The return was delivered to Temu’s designated return facility on July 27th, as confirmed by the return tracking information.

Temu subsequently denied my refund of $8.28, despite the photographic and video evidence I submitted. Temu did not provide any clear or verifiable evidence showing that the returned items were missing, incorrect, altered, or otherwise ineligible for a refund. In fact, the warehouse image Temu provided appears to show its employee holding the two separately bagged shoes, which is consistent with my documentation and confirms that the returned items reached Temu’s facility.

I contacted Temu and requested that the matter be properly reviewed, but the company continued to deny the refund without adequately explaining how my return failed to meet its requirements. Temu currently has both the returned merchandise and the money I paid. Don't expect a refund, expect to be scammed.",1,"August 1, 2026",6a7beb0efec32ab51ebd611a,Kit Kat,Negative,1591,-1,temu denied refund shoes returned photographs videos showing items packaged return along return delivery documentation temu denied refund without providing warehouse evidence inspection records requested purchased pair shoes temu however temu not send complete correct pair shipment contained individual shoe looked nothing like photo opened return temu returned individual shoe exactly received shipping return took photographs videos showing items condition shoe packaged return delivered temu designated return facility july 27th confirmed return tracking information temu subsequently denied refund 8 28 despite photographic video evidence submitted temu not provide clear verifiable evidence showing returned items missing incorrect altered otherwise ineligible refund fact warehouse image temu provided appears show employee holding two separately bagged shoes consistent documentation confirms returned items reached temu facility contacted temu requested matter properly reviewed company continued deny refund without adequately explaining return failed meet requirements temu currently returned merchandise money paid don't expect refund expect scammed,149,1161
Temu,Online Shopping,Buyers beware,"I purchased two pairs of shoes and a small nail glue from Temu for $25.84. However, Temu did not send two complete pairs of the shoes. The shipment contained only two individual shoes, with one shoe from each style placed in a separate bag, rather than the four shoes required to make two complete pairs.

I opened a return through Temu and returned both individual shoes exactly as they were received. Before shipping the return, I took photographs and videos showing the items, their condition, and how each shoe was packaged. The return was delivered to Temu’s designated return facility on July 31st, 2026, as confirmed by the return tracking information.

Temu subsequently denied my full refund of $25.84, despite the photographic and video evidence I submitted. Temu did not provide any clear or verifiable evidence showing that the returned items were missing, incorrect, altered, or otherwise ineligible for a refund. In fact, the warehouse image Temu provided appears to show its employee holding the two separately bagged shoes, which is consistent with my documentation and confirms that the returned items reached Temu’s facility.

I contacted Temu and requested that the matter be properly reviewed, but the company continued to deny the refund without adequately explaining how my return failed to meet its requirements. Temu currently has both the returned merchandise and the money I paid. That is scamming, and it's fraud.",1,"August 4, 2026",6a7bea7b480eedbdb8bb0581,E B,Negative,1440,-1,purchased two pairs shoes small nail glue temu 25 84 however temu not send two complete pairs shoes shipment contained two individual shoes one shoe style placed separate bag rather four shoes required make two complete pairs opened return temu returned individual shoes exactly received shipping return took photographs videos showing items condition shoe packaged return delivered temu designated return facility july 31st 2026 confirmed return tracking information temu subsequently denied full refund 25 84 despite photographic video evidence submitted temu not provide clear verifiable evidence showing returned items missing incorrect altered otherwise ineligible refund fact warehouse image temu provided appears show employee holding two separately bagged shoes consistent documentation confirms returned items reached temu facility contacted temu requested matter properly reviewed company continued deny refund without adequately explaining return failed meet requirements temu currently returned merchandise money paid scamming fraud,141,1044
Temu,Online Shopping,"If I could give negative stars, I would","If I could give negative stars, I would. On May 21st 2026. I ordered a single pair of glasses from LMA US on Temu I received the glasses and they looked nothing as advertised. I sent them back to the seller and they denied my refund and my claim. I contacted customer service about this issue and they said that they did not receive the item and that a personal item was found. I proceeded to tell them that the glasses they sent weren't like the photo so of course it looked different, later, they changed their excuse and said there were fewer items than received in the return package, which makes no sense because there was only ONE item in the return package. They asked for a photo of what I received along with the receipt. I provided them with EVERYTHING they asked for, plus videos of my return to UPS and confirmation that the seller received the item. After providing all of that, they used the same copy and paste email to say that they won't give me a refund. I asked if they could check with the seller to see what they received because after contacting customer service, they said that they have footage and personally pack every persons order individually, and check the returns. They then proceeded to ignore my request for that and continued to deny my refund with no valid proof. They did all of this in a runaround ticket that they made. If I do not receive my refund after providing proof and documents/screenshots of what customer service has told me. I have no choice but to continue with the dispute I'm filing, and get my refund by force, since my bank has told me that as long as I provide the proof and documents and Temu fails to provide any type of photo/video proof of evidence, that they can reverse the charge. (If they reply with the same copy and paste: item not received without any kind of proof, that proves my whole point.)",1,"August 3, 2026",6a7be9728e6b73daca1ce42a,Niko,Negative,1861,-1,could give negative stars would may 21st 2026 ordered single pair glasses lma us temu received glasses looked nothing advertised sent back seller denied refund claim contacted customer service issue said not receive item personal item found proceeded tell glasses sent weren't like photo course looked different later changed excuse said fewer items received return package makes no sense one item return package asked photo received along receipt provided everything asked plus videos return ups confirmation seller received item providing used copy paste email say won't give refund asked could check seller see received contacting customer service said footage personally pack every persons order individually check returns proceeded ignore request continued deny refund no valid proof runaround ticket made not receive refund providing proof documents screenshots customer service told no choice continue dispute filing get refund force since bank told long provide proof documents temu fails provide type photo video proof evidence reverse charge reply copy paste item not received without kind proof proves whole point,166,1124
Temu,Online Shopping,Temu's new delivery partner worse than Evri,"Temu have started using a company called J&T Express. Never heard of them, and they have lost both my parcels.

Two stars is because they paid me £8 in late fees. Then I get a refund. But I prefer my items.",2,"August 12, 2026",6a7be3178124687ee5e0382a,Damian,Negative,206,-1,temu started using company called j express never heard lost parcels two stars paid 8 late fees get refund prefer items,21,119
Temu,Online Shopping,Deceiving return policy,Deceiving return policy. They state 30 free returns but my account got suspended after I did some return based on their 30 return policy. They did not provide a reason nor answer my query when I contacted them. Now the credit I have on the account cannot be use. Scam,1,"August 4, 2026",6a7bcc6da4e0b8f15d20513a,Wing Promo,Negative,267,-1,deceiving return policy state 30 free returns account got suspended return based 30 return policy not provide reason nor answer query contacted credit account cannot use scam,27,174
Temu,Online Shopping,Defective item,"Defective item, growing oil stains, and terrible support!

I ordered a cabinet from Temu, but oil stains started appearing on the wood right after assembly. Even worse, these stains are actively spreading and creeping up the doors every single day.

I contacted customer service, but senior agent Daxton gave me a generic copy-paste template. They refuse to issue a refund unless I disassemble and package this bulky item myself, which forces me to spend extra money and labor to fix their mistake. When I asked Temu to send someone to pick up and pack this ruined cabinet, they completely refused and dumped all the responsibility onto me.

Order Number: PO-211-00575665490553833

Expecting a customer to pay extra out of pocket to disassemble and package a spreading, defective item is completely unacceptable. I demand a full refund immediately, or I will file a chargeback with my bank!",1,"August 11, 2026",6a7bb4472597888cc8e9980b,Ильгиз Сибгатуллин,Negative,890,-1,defective item growing oil stains terrible support ordered cabinet temu oil stains started appearing wood right assembly even worse stains actively spreading creeping doors every single day contacted customer service senior agent daxton gave generic copy paste template refuse issue refund unless disassemble package bulky item forces spend extra money labor fix mistake asked temu send someone pick pack ruined cabinet completely refused dumped responsibility onto order number po 211 00575665490553833 expecting customer pay extra pocket disassemble package spreading defective item completely unacceptable demand full refund immediately file chargeback bank,90,660
Temu,Online Shopping,Temu should not be to treat people this way,"5:35
Support ticket details
Replied to you
After-sales
Property damage
Support ticket ID: 1784692042211933
Created on: Jul 21, 2026, 10:47 PM
#PO-211-06600311890551074
80 PCS
View details ›
8510
TEN
D
Dawnie has replied Aug 10, 2026, 9:06 AM
Dear Valued Customer,
Thank you for your response.
We understand your feelings.
Regarding your concern, we want to let you know that our specialized team is actively investigating your concerns to ensure we provide you with a fair and accurate solution.
Because we are conducting a thorough review of all the details, we kindly ask for just a little more time to complete the process.
We are tracking your case closely and will get
Reply.

So truspilot will not post your complaints unless you give them proof. Here is the proof this was escalated to property damage in July. It took that long to just get them to know that they made a mess in my house. Now it’s taking them forever in a day to give me the MSDS Sheets on a possible hazardous chemical that one of their mad employees put into my bag. I have discussed compensation with them. They are not even close to where I need them to be to satisfy my needs as far as cleanup is concerned. I have had to do my own research to find these candles on their website to prove that this candle came from them. They know the facts I have done what they have told me I have responded on the Temu app and also through Team emails I have sent Trustpilot those emails as well. Very, very disappointed in Temu‘s response. Everything takes forever I would just really like for this to be over. However, I will not stop complaining until they move on taking care of a customer that they call valued and a high value customer. I spend a lot of money on Temu and this one action has made me look for other resources to obtain the materials that I need. Other than that, I do not complain about a lot of the stuff I get I understand it’s not the best product made however it is affordable and sustainable as far as prize, but I have found that I can get a lot of these materials either directly from the vendor or I can get other makers that are located in the US and the pricing is not that much more if you are buying in bulk like I do. I also get these items much faster if they are bought in the US versus in China, then I don’t have to wait for them to clear customs. I don’t know the trick that Temu has to get them to clear customs because I never have a packing list inside any shipments that I receive. So I know some of these items come from the warehouse or corporate Temu in Boston I don’t understand how they can get away with not having material data sheets for their employees much less their customers. This looks to be a really big problem for the EPA. I’m pretty sure that they will get involved at some point of Temu does not satisfy my needs. This is not a threat. This is a real life situation so I don’t understand Temu I will not take of this. Maybe I need to get involved CPSC or the epa I do really need to go this far for Temu to prove or protect the customers.",1,"August 11, 2026",6a7bb3654f0e11352bf5bec7,Rick,Negative,3067,-1,5 35 support ticket details replied sales property damage support ticket id 1784692042211933 created jul 21 2026 10 47 pm po 211 06600311890551074 80 pcs view details 8510 ten dawnie replied aug 10 2026 9 06 dear valued customer thank response understand feelings regarding concern want let know specialized team actively investigating concerns ensure provide fair accurate solution conducting thorough review details kindly ask little time complete process tracking case closely get reply truspilot not post complaints unless give proof proof escalated property damage july took long get know made mess house taking forever day give msds sheets possible hazardous chemical one mad employees put bag discussed compensation not even close need satisfy needs far cleanup concerned research find candles website prove candle came know facts done told responded temu app also team emails sent trustpilot emails well disappointed temu response everything takes forever would really like however not stop complaining move taking care customer call valued high value customer spend lot money temu one action made look resources obtain materials need not complain lot stuff get understand not best product made however affordable sustainable far prize found get lot materials either directly vendor get makers located us pricing not much buying bulk like also get items much faster bought us versus china wait clear customs know trick temu get clear customs never packing list inside shipments receive know items come warehouse corporate temu boston understand get away not material data sheets employees much less customers looks really big problem epa pretty sure get involved point temu not satisfy needs not threat real life situation understand temu not take maybe need get involved cpsc epa really need go far temu prove protect customers,283,1836
Temu,Online Shopping,This shouldn't even be 1 star,"This shouldn't even be 1 star. Have had repeated issues with them, mostly the shipping companies they use. Teses shippers straightship and uniuni are completely useless and incompetent, they are not used by any respectable companies to ship here in canada but companies like temu continue to use them evenm after repeated complaints and saqying they will block there use for any of your future orders but still do. Temu customer service is not much better, their solution is to always just tell you to contact the shipper who never answers or responds and then they offer a discount coupon. only issue a refund after repeatedly hounding them.",1,"August 11, 2026",6a7b9656cc5a9ffe1b6e007c,Nigel Edmunds,Negative,642,-1,shouldn't even 1 star repeated issues mostly shipping companies use teses shippers straightship uniuni completely useless incompetent not used respectable companies ship canada companies like temu continue use evenm repeated complaints saqying block use future orders still temu customer service not much better solution always tell contact shipper never answers responds offer discount coupon issue refund repeatedly hounding,58,426
Temu,Online Shopping,Temu should be called cuckoo because…,Temu should be called cuckoo because the customer service does not make sense. I have tried for the past 3 weeks to get an item collected. They are refusing to collect after forcing me to accept my cancellation request. The customer service is rubbish and this company needs to be reported to trading standards as their practices are questionable. You cannot speak to any managers and they come out with the same BS every time the escalation department send you the same standard response. This is now a matter for my solicitor.,1,"August 11, 2026",6a7b8bf49ab94cae42bb4346,hazel,Negative,528,-1,temu called cuckoo customer service not make sense tried past 3 weeks get item collected refusing collect forcing accept cancellation request customer service rubbish company needs reported trading standards practices questionable cannot speak managers come bs every time escalation department send standard response matter solicitor,45,333
Temu,Online Shopping,Dont waste any money,"Clothes are awful material and nothing like the ones advertised
'Free' gifts are rubbish.
I won't be ordering from them again.",1,"August 11, 2026",6a7b87afbf7d087491b5121e,Jilly,Negative,126,-1,clothes awful material nothing like ones advertised 'free' gifts rubbish won't ordering,12,87
Temu,Online Shopping,Temu has fallen with the quality of…,"Temu has fallen with the quality of items being sent and quality of game play. I don't want to purchase every time I play. The only good thing this app is for is buying stickers, and crafting items to exchange. Refund service is a joke. The delivery people do not know what's in the package and then when you complain they treat you like you are lying.",2,"August 11, 2026",6a7b6da9f9c01996db06b09b,Laura Gore,Negative,352,-1,temu fallen quality items sent quality game play don't want purchase every time play good thing app buying stickers crafting items exchange refund service joke delivery people not know what's package complain treat like lying,35,225
